Package name,package,version,source_file,hit_rules_count,hit_rules,rule_IG-001,rule_IG-002,rule_IG-003,rule_IG-004,rule_IG-005,rule_IG-006,rule_IG-007,rule_IG-008,rule_IG-009,rule_IG-010,rule_IG-011,rule_DT-001,rule_DT-002,rule_DT-003,rule_DT-004,rule_DT-006,rule_DT-007,rule_DT-008,rule_DT-009,rule_DT-010,rule_DT-011,rule_DT-012,rule_DT-013,rule_IG-013,rule_IG-014,rule_DT-014,rule_DT-016,rule_DT-017,rule_DT-018,rule_DT-020,rule_DT-030,rule_DT-032,rule_IG-012,rule_DE-001,rule_DE-002,rule_DE-003,rule_DE-004,rule_DE-005,rule_DE-006,rule_DE-007,rule_PE-001,rule_PE-002,rule_PE-003,rule_PE-004,rule_PE-005,rule_PE-006,rule_PE-007,rule_PE-008,rule_PE-009,rule_PE-010,rule_PE-011,rule_PE-012,rule_PE-013,rule_PE-014,rule_PE-015,rule_PE-016,rule_SP-001,rule_SP-002,rule_SP-003,rule_SP-004,malicious_node_count,malicious_ratio,category_diversity,IG_ratio,DT_ratio,DE_ratio,PE_ratio,SP_ratio,malicious_internal_edges,malicious_density,malicious_components,mean_degree_centrality_full,max_degree_centrality_full,mean_malicious_pagerank,max_malicious_pagerank,sum_malicious_pagerank,mean_malicious_betweenness,max_malicious_betweenness,mean_degree_centrality_sub,max_degree_centrality_sub,mean_pagerank_sub,max_pagerank_sub,mean_betweenness_sub,max_betweenness_sub,num_malicious_communities,max_community_maliciousness_ratio,malicious_community_entropy
nilepkg3-1.0.0,nilepkg3,1.0.0,10月6日,7,"DE-005,DT-004,DT-008,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.1,0.113560421885625,0,0,4,1,1.895461844238322
nilepkg4-1.0.0,nilepkg4,1.0.0,10月6日,12,"DE-001,DE-002,DT-001,DT-002,DT-003,IG-001,IG-003,IG-010,IG-011,PE-001,PE-002,PE-003",1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.20353982300884957,4,0.391304347826087,0.17391304347826086,0.17391304347826086,0.2608695652173913,0,0,0,23,0.01281055900621118,0.026785714285714284,0.00829432593679922,0.011445384532451931,0.19076949654638206,0.000122509932292541,0.0014543114543114544,0,0,0.043478260869565195,0.0434782608695652,0,0,8,0.3333333333333333,2.733941979590484
nilepkg5-1.0.0,nilepkg5,1.0.0,10月6日,12,"DE-001,DE-002,DT-001,DT-002,DT-003,IG-001,IG-003,IG-010,IG-011,PE-001,PE-002,PE-003",1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.20353982300884957,4,0.391304347826087,0.17391304347826086,0.17391304347826086,0.2608695652173913,0,0,0,23,0.01281055900621118,0.026785714285714284,0.00829432593679922,0.011445384532451931,0.19076949654638206,0.000122509932292541,0.0014543114543114544,0,0,0.043478260869565195,0.0434782608695652,0,0,8,0.3333333333333333,2.733941979590484
nilepkg6-1.0.0,nilepkg6,1.0.0,10月6日,12,"DE-001,DE-002,DT-001,DT-002,DT-003,IG-001,IG-003,IG-010,IG-011,PE-001,PE-002,PE-003",1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.20353982300884957,4,0.391304347826087,0.17391304347826086,0.17391304347826086,0.2608695652173913,0,0,0,23,0.01281055900621118,0.026785714285714284,0.00829432593679922,0.011445384532451931,0.19076949654638206,0.000122509932292541,0.0014543114543114544,0,0,0.043478260869565195,0.0434782608695652,0,0,8,0.3333333333333333,2.733941979590484
nilepkg9-1.0.0,nilepkg9,1.0.0,10月6日,7,"DE-005,DT-004,DT-008,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5833333333333334,2,0,0.2857142857142857,0,0.7142857142857143,0,4,0.09523809523809523,3,0.14285714285714285,0.2727272727272727,0.08349745129297562,0.11276145590607443,0.5844821590508293,0.005194805194805195,0.01818181818181818,0.19047619047619047,0.3333333333333333,0.14285714285714282,0.16378880810200558,0,0,3,1,1.4488156357251847
niletestpkg-1.0.0,niletestpkg,1.0.0,10月6日,7,"DE-005,DT-004,DT-008,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5833333333333334,2,0,0.2857142857142857,0,0.7142857142857143,0,4,0.09523809523809523,3,0.14285714285714285,0.2727272727272727,0.08349745129297562,0.11276145590607443,0.5844821590508293,0.005194805194805195,0.01818181818181818,0.19047619047619047,0.3333333333333333,0.14285714285714282,0.16378880810200558,0,0,3,1,1.4488156357251847
ninjaleetpkg-1.0.0,ninjaleetpkg,1.0.0,10月6日,7,"DE-005,DT-004,DT-008,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5833333333333334,2,0,0.2857142857142857,0,0.7142857142857143,0,4,0.09523809523809523,3,0.14285714285714285,0.2727272727272727,0.08349745129297562,0.11276145590607443,0.5844821590508293,0.005194805194805195,0.01818181818181818,0.19047619047619047,0.3333333333333333,0.14285714285714282,0.16378880810200558,0,0,3,1,1.4488156357251847
op-frontend-commons-99.0.0,op-frontend-commons,99.0.0,10月1日,7,"DE-001,DE-003,DE-007,DT-004,DT-009,PE-001,PE-002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0.45348837209302323,3,0,0.008547008547008548,0.9743589743589743,0.017094017094017096,0,41,0.0030209254347185383,76,0.007715587482124429,0.019455252918287938,0.0036167405321468195,0.006383146309101338,0.4231586422611779,3.2175995211014675e-05,0.0003529304474708171,0.006041850869437072,0.02586206896551724,0.008547008547008543,0.017498761045618517,2.562821153525801e-06,7.496251874062968e-05,19,0.6521739130434783,3.7159816474455374
optional-native-module-xyz-99.7.1,optional-native-module-xyz,99.7.1,10月2日,10,"DE-001,DE-004,DT-001,DT-002,DT-003,DT-010,IG-001,PE-001,PE-002,PE-009",1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0.13934426229508196,4,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.29411764705882354,0,0,0,17,0.015556635877491494,0.03305785123966942,0.008585614154145252,0.01296404675943667,0.14595544062046928,0.00023229622427483395,0.0016804407713498623,0,0,0.058823529411764705,0.058823529411764705,0,0,9,0.5,2.889549430862088
react-dnd-html5-backend-14-9.9.9,react-dnd-html5-backend-14,9.9.9,10月6日,6,"DT-004,PE-001,PE-002,PE-004,PE-008,SP-002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0.7777777777777778,2,0,0.2857142857142857,0,0.7142857142857143,0,4,0.09523809523809523,3,0.19642857142857142,0.375,0.11799894014684667,0.1593259143612602,0.8259925810279267,0.01020408163265306,0.03571428571428571,0.19047619047619047,0.3333333333333333,0.14285714285714282,0.16378880810200558,0,0,3,1,1.4488156357251847
